datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51148	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Amazonas	"La Pedrera"	"La Pedrera Río Caquetá"	-69.7333333333333	-1.32833333333333											1				"Los bagres de la subfamilia Sorubiminae de la Orinoquia y Amazonia colombiana [Siluriformes-Pimelodidae] CASTRO, Dario M."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51147	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Venezuela	Apure	"Pedro Camejo"	"Río Meta afluente Río Orinoco"	-67.45	6.18333333333333											1				"Especies de la pesca deportiva : Una guía de identificación y reglamentación de los peces de agua dulce en Venezuela BARBARINO DUQUE, Aniello;TAPHORN BAECHLE, Donald C."	
"2006-01-12 00:00:00-02"	"Fundación Puerto Rastrojo - Colômbia"	FPR-COLOMBIA	51151	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopterigii	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus																	Colombia	Caquetá	Solano	"Río Caquetá"	-73.9461111111111	0.3475											1				"Age structure and exploitation of Giant Catfish populations [Brachyplatystoma spp.] in the Lower Caqueta River, Colombia MUNOZ SOSA, Diego L."	
"2015-09-01 11:03:01-03"	ANSP	ANSP-ICHTHYOLOGY	198315	Paracanthopoma	S	Animalia	Chordata	Actinopteri	Siluriformes	Trichomycteridae	Paracanthopoma				"M.H. Sabaj, 2015"						iXIN14-EXP3-37	"M.H. Sabaj Pérez, L.M. Sousa, A.P. Gonçalves, D.B. Fitzgerald, V. Machado, P.M. Ito, A. Oliveira, H. Gimênes Jr., M. Hardman, J. Tiemann, K.S. Cummings, M.C. Dreher Mansur & fishermen"							Brazil	Pará		"rio Xingu, central channel ca. 4.4 km upstream of campsite 3."	-51.711694	-3.415083										"trot line [1 alc; 0 sk; 0 c&s]"	1	"ex. INPA"			"Identif.Remarks: tissue sample: whole specimen preserved in ethanol; specimen fell off large Phractocephalus hemiliopterus (ANSP 198243) as latter was hauled onto bow of boat, original point of attachment of Paracanthopoma to Phractocephalus not seen. Location Remarks: trot line; iXingu Project (NSF DEB-1257813) Expedition 3, Outing 2."	ANSP198315
"2015-09-01 11:23:36-03"	ANSP	ANSP-ICHTHYOLOGY	175797	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			W.G.Saul,1997						WGS97-2	"W. G. Saul, G. R. Watkins, N. R. Liley, D. Allicock, R. Allicock, E. McBirney."							Guyana		"Siparuni VIII-2"	"Essequibo River: ca. two hours downstream from Kurupukari field station."	-58.676359	4.659279							0	3		"hook and line [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: Co-ordinates by GPS.Water-cloudy;current-slow;vegetation- emergents and marginal;bottom-sand,bedrock. IWOKRAMA FAUNAL SURVEY.See FN. Georef.Remarks: Coordinates at Essequibo River in Kurupukari. Error covers area around village."	ANSP175797
"2015-09-01 11:23:36-03"	ANSP	ANSP-ICHTHYOLOGY	175798	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			W.G.Saul,1997						WGS97-23	"D. Allicock"							Guyana		"Siparuni VIII-2"	"Essequibo River: 180 yd. upstream from Essequibo campsite (Maipuri)."	-58.583333	4.566667							0	12		"trotline/gill net [1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: Head only. Location Remarks: Co-ordinates by GPS.Water-cloudy;current-slow to moderate; bottom-sand,rocks,logs;shoreline-dense forest.Lines set all night.Could hear Plagioscion croaking-strange! IWOKRAMA FAUNAL SURVEY. See FN. Georef.Remarks: Coordinates at Maipuri, error covers area around it."	ANSP175798
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	178104	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"M.H.Sabaj, 2001"						"PERU 2001-00A"	"M.H. Sabaj, M.W. Littmann, N.R. Lovejoy, J.G. Stewart, M. Thomas, S.S. Curran & K.A. Elkin."							Peru	Loreto		"Rio Amazonas Basin; purchased from ornamental fishermen in Iquitos (Belem)."	-73.253144	-3.755657										"[1 alc; 0 sk; 0 c&s]"	1					ANSP178104
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	179232	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"J.G. Lundberg, 2003"						CALHAMAZON-93-1	"J.G. Lundberg, et al."							Brazil	Amazonas		"Rio Japura (Amazonas Dr.)."	-64.733875	-3.207827										"cast net [0 alc; 1 sk; 0 c&s]"	1				"Identif.Remarks: tissue tag no. 243; metal tag no. 307. Location Remarks: Calhamazon Collection. Georef.Remarks: The polygon was traced using the information from the collection records. It include the total distance traveled during the date of the collection."	ANSP179232
"2015-09-01 11:02:30-03"	ANSP	ANSP-ICHTHYOLOGY	179452	"Phractocephalus hemioliopterus"	O	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"J.G. Lundberg, 2003"						JGL-VE-1999-2	"J. G. Lundberg, et al."	1999						Venezuela	Apure		"Rio Apure near San Fernando de Apure."	-67.450914	7.892501										"[0 alc; 0 sk; 0 c&s]"					"Identif.Remarks: photo voucher only, disposition of specimen unknown."	ANSP179452
"2015-09-01 11:48:41-03"	ANSP	ANSP-ICHTHYOLOGY	179553	"Phractocephalus hemioliopterus"	S	Animalia	Chordata	Actinopteri	Siluriformes	Pimelodidae	Phractocephalus	hemioliopterus			"J.N. Baskin, 1979"						DJS-14-79	"D.J. Stewart et al."							Venezuela	"Delta Amacuro"		"Rio Orinoco on north shore at Isla Portuguesa, ca. mi. 117, in Caño Anabata."	-61.78672	8.60437										"ichthyocide station [0 alc; 1 sk; 0 c&s]"	1	"ex. DU F-925A"			"Location Remarks: R/V Eastward cruise no. E-6B-79"	ANSP179553
