"genus"	"species"	"latitude"	"longitude"	"source"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.406067	-54.71979	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.747713	-73.247222	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-3.747713	-73.247222	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.413969	-54.739873	"gbif"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.91666666666667	-68.7333333333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.15	-69.95	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	2.6	-72.7833333333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-0.614166666666667	-72.2666666666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	0.3475	-73.9461111111111	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.65	-66.3994444444445	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7	-67.1166666666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.31666666666667	-66.25	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	0.25	-76	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	2.87305555555556	-72.1430555555556	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-4.15	-69.95	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1	-71	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-2.13333333333333	-71.7369444444444	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	3.06166666666667	-68.5	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.32833333333333	-69.7333333333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	2.75	-73.9166666666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-0.606666666666667	-72.4013888888889	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	2.6	-72.7833333333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.15	-69.6666666666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	2.75	-73.9166666666667	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	7.08777777777778	-70.7575	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	-1.32833333333333	-69.7333333333333	"splink"
"Phractocephalus"	"Phractocephalus hemioliopterus"	6.18333333333333	-67.45	"splink"
