datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	130430	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1975"						WGS68-3	"W. G. Saul"	1968	06	29		01:01		Ecuador	Napo		"Stream trib. of Rio Conejo at Santa Cecilia."	-77.126413	0.062774										"[1 alc; 0 sk; 0 c&s]"	1	"KU 13716"				ANSP130430
"2015-09-01 11:48:06-03"	ANSP	ANSP-ICHTHYOLOGY	137700	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"W.G.Saul, 1976"						"SIO 68-141"	"James Faughn - R/V Alpha Helix"	1967	06	01		01:01		Brazil	Amazonas		"W of Moura, near junction of Rio Negro and Rio Branco."	-61.830572	-1.403323										"[1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: April - June 1967; station 6 noted for some records."	ANSP137700
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	148089	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys									Z148089	"John Hauxwell"										"Ambyiacu River."	0	0										"[5 alc; 0 sk; 0 c&s]"	5				"Identif.Remarks: Previously catalogued as ANSP 2145-55 Location Remarks: E.D. Cope collection."	ANSP148089
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	167712	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			W.G.Saul,1990						DF90-21	"Dan & Pat Fromm"							Peru	Loreto		"Rio Nanay: swamp on path from village of Minchana to Nauta road, approx. 5 min. from Minchana."	-73.491528	-3.87933										"seine [3 alc; 0 sk; 0 c&s]"	3				"Location Remarks: Coordinates approximate. Georef.Remarks: Coordinates centered at Minchana"	ANSP167712
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	170361	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			W.G.Saul,1993						DF93-29	"Dan & Pat Fromm, Walter Gomez, J. Barnett, Edgar Ramirez, Julio Casiles."	1993	06	13		01:01		Paraguay	"Presidente Hayes"		"Pools on Rancho Salmo 23, approx. 8 km towards Clorinda from Puente Remanso, Rio Negro Drainage; pools overgrown with Pistia."	-57.629433	-25.193537										"seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: See FN. Georef.Remarks: Coordinates 8 km from Puente Remanso on road to Clorinda."	ANSP170361
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	170362	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			W.G.Saul,1993						DF93-37	"Dan & Pat Fromm"	1993	06	16		01:01		Paraguay	Caaguaz£		"Brook running through Parque Nacional Guayaqui at km post 170 (Ruta 7, Asunción-Ciudad del Este road).*"	-56.170027	-25.475905										"seine [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: *substrate sheet rock with sand and leaves. pH 7.2, TDS 50 ppm. See FN."	ANSP170362
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	174780	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			W.G.Saul,1996						DF96-39	"D. W. Fromm, P. A. Fromm, Mario Insaurralde, *"							Paraguay	"Missiones Dept."		"Marsh in Ayolas."	-56.84794	-27.39098										"[0 alc; 0 sk; 0 c&s]"					"Identif.Remarks: originally 1 alc, lost during return from ANSP loan 99-019 to R. Reis. Location Remarks: *Pedro Ferreira. Co-ordinates by GPS. See FN."	ANSP174780
"2015-09-01 10:59:28-03"	ANSP	ANSP-ICHTHYOLOGY	174781	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			W.G.Saul,1996						DF96-35	"D.W. Fromm, P.A. Fromm"							Paraguay	"Missiones Dept."		"Pool in stream crossing Asunción-Encarnación highway."	-56.985527	-26.875465										"[1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: Water clear;substrate sand/gravel with organics and filamentous algae at margins. pH 7.2; TDS 10ppm. Co-ordinates by GPS. See FN. Georef.Remarks: Polygon covers road Asuncion-Encarnacion in the Dep. of Misiones. Coordinates placed at center of polygon."	ANSP174781
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	179110	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"M.H. Sabaj, 2003"						"GUY 02-29"	"M.H. Sabaj, J.W. Armbruster, M.R. Thomas, D.C.Werneke, C. L.Allison, C.J. Chin & D. Arjoon."							Guyana	Cuyuni-Mazaruni		"Orokang River (Mazaruni Dr.), 1.2 km south of Chi Chi Falls airstrip, 21.1 km SSW of Imbaimadai."	-60.15	5.572732										"seine [1 alc; 0 sk; 0 c&s]"	1				"Identif.Remarks: tissue sample 2278. Location Remarks: Clear stream with many riffles, substrate dominated by boulders with grassy submerged vegetation; also sampled small creek trib shadowed by riparian forest. Georef.Remarks: Coordinates at Orokang River 1.2 km of Chi Chi Falls Airstrip."	ANSP179110
"2015-09-01 11:23:01-03"	ANSP	ANSP-ICHTHYOLOGY	179695	"Callichthys callichthys"	S	Animalia	Chordata	Actinopteri	Siluriformes	Callichthyidae	Callichthys	callichthys			"M.H. Sabaj, 2004"						"GUY 02-02"	"M. H. Sabaj, J. W. Armbruster, M. R. Thomas etal"							Guyana	Potaro-Siparuni		"small drying creek tributary to Essequibo R. at rd crossing in Iwokrama Forest ca. 0.5 km from eastern boundary."	-59.197693	4.886815										"seine and dipnet [1 alc; 0 sk; 0 c&s]"	1				"Location Remarks: et al= D.C.Werneke, C.L.Allison, C.J.Chin, D.Arjoon & S.M.James; sampled a couple of drying pools with substrates of mud and leaf litter, water relatively hypoxic. Georef.Remarks: Error covers approx. area of Iwokrama Mountains."	ANSP179695
